month,article count
2011-01,49
2011-02,53
2011-03,37
2011-04,44
2011-05,52
2011-06,36
2011-07,37
2011-08,34
2011-09,57
2011-10,68
2011-11,65
2011-12,79
2012-01,37
2012-02,46
2012-03,55
2012-04,34
2012-05,49
2012-06,51
2012-07,29
2012-08,38
2012-09,44
2012-10,77
2012-11,51
2012-12,63
2013-01,44
2013-02,47
2013-03,40
2013-04,35
2013-05,32
2013-06,55
2013-07,19
2013-08,71
2013-09,67
2013-10,42
2013-11,51
2013-12,33
2014-01,50
2014-02,46
2014-03,38
2014-04,51
2014-05,30
2014-06,60
2014-07,36
2014-08,27
2014-09,48
2014-10,82
2014-11,58
2014-12,60
2015-01,26
2015-02,22
2015-03,30
2015-04,29
2015-05,24
2015-06,61
2015-07,39
2015-08,59
2015-09,54
2015-10,52
2015-11,97
2015-12,114
2016-01,30
2016-02,25
2016-03,30
2016-04,46
2016-05,61
2016-06,43
2016-07,29
2016-08,46
2016-09,39
2016-10,35
2016-11,72
2016-12,24
2017-01,52
2017-02,38
2017-03,54
2017-04,42
2017-05,48
2017-06,63
2017-07,34
2017-08,33
2017-09,44
2017-10,37
2017-11,45
2017-12,37
2018-01,40
2018-02,18
2018-03,42
2018-04,29
2018-05,49
2018-06,44
2018-07,27
2018-08,54
2018-09,51
2018-10,102
2018-11,67
2018-12,83
2019-01,57
2019-02,67
2019-03,82
2019-04,121
2019-05,159
2019-06,130
2019-07,99
2019-08,102
2019-09,146
2019-10,124
2019-11,134
2019-12,136
2020-01,149
2020-02,122
2020-03,98
2020-04,79
2020-05,80
2020-06,95
2020-07,51
2020-08,67
2020-09,123
2020-10,85
2020-11,94
2020-12,98
2021-01,69
2021-02,84
2021-03,75
2021-04,107
2021-05,72
2021-06,76
2021-07,101
2021-08,116
2021-09,128
2021-10,161
2021-11,174
2021-12,87
2022-01,87
2022-02,116
2022-03,82
2022-04,80
2022-05,79
2022-06,71
2022-07,57
2022-08,87
2022-09,102
2022-10,156
2022-11,96
2022-12,77
2023-01,77
2023-02,64
2023-03,59
2023-04,68
2023-05,82
2023-06,71
2023-07,66
2023-08,36
